"city","country","pop2024","latitude","longitude"
"Igbara-Odo","Nigeria",74121,7.50251,5.06258
"Ozubulu","Nigeria",73812,5.95753,6.85305
"Aku","Nigeria",73742,6.70902,7.31826
"Oyan","Nigeria",73622,8.05,4.76667
"Jega","Nigeria",73495,12.2234,4.37971
"Asaba","Nigeria",73374,6.19824,6.73187
"Ohafia-Ifigh","Nigeria",73355,5.61455,7.81191
"Afikpo","Nigeria",71866,5.89258,7.93534
"Apomu","Nigeria",71656,7.35156,4.18335
"Fiditi","Nigeria",71461,7.71361,3.91722
"Orita Eruwa","Nigeria",71027,7.55,3.43333
"Eha Amufu","Nigeria",70779,6.65915,7.75961
"Malumfashi","Nigeria",70709,11.7893,7.62061
"Kaura Namoda","Nigeria",69725,12.5937,6.58648
"Enugu-Ukwu","Nigeria",68785,6.17146,7.00525
"Idah","Nigeria",68703,7.11345,6.73866
"Obonoma","Nigeria",68584,4.71131,6.79084
"Agbor","Nigeria",67610,6.25375,6.1942
"Ezza-Ohu","Nigeria",67414,6.44094,8.08432
"Uga","Nigeria",64179,5.93576,7.0793
"Nkwerre","Nigeria",62973,5.75917,7.10384
"Auchi","Nigeria",62907,7.06756,6.2636
"Lokoja","Nigeria",60579,7.79688,6.74048
"Ekpoma","Nigeria",59618,6.743,6.14029
"Ijebu-Jesa","Nigeria",51730,7.68267,4.81436
"Kabba","Nigeria",49869,7.82719,6.07502
"Ilaro","Nigeria",46999,6.88901,3.01416
"Damaturu","Nigeria",46000,11.747,11.9608
"Argungu","Nigeria",45584,12.7448,4.52514
"Gumel","Nigeria",42742,12.6269,9.38807
"Geidam","Nigeria",41367,12.8944,11.9265
"Talata Mafara","Nigeria",39045,12.5684,6.06225
"Gummi","Nigeria",38744,12.1448,5.11776
"Otan Ayegbaju","Nigeria",37783,7.94783,4.78836
"Ogoja","Nigeria",37466,6.6584,8.79923
"Katsina-Ala","Nigeria",36722,7.16938,9.28465
"Itu","Nigeria",36358,5.20131,7.98373
"Kumo","Nigeria",35712,10.0481,11.2106
"Oke Ila","Nigeria",35000,7.95,4.98333
"Pankshin","Nigeria",31516,9.32541,9.4352
"Nasarawa","Nigeria",30949,8.53895,7.70821
"Kachia","Nigeria",30893,9.87342,7.95407
"Dikwa","Nigeria",29026,12.0361,13.9181
"Moriki","Nigeria",28735,12.8741,6.48754
"Patigi","Nigeria",28285,8.72851,5.75561
"Wamba","Nigeria",27137,8.94153,8.60315
"Baro","Nigeria",26821,8.61565,6.4185
"Okuta","Nigeria",26589,9.21667,3.18333
"Birnin Kudu","Nigeria",26565,11.4521,9.47856
"Badagry","Nigeria",26383,6.41502,2.88132
