city_id,city,country,population,latitude,longitude,region
110,Lalupon,Nigeria,81130,7.46667,4.06667,South
111,Ughelli,Nigeria,79986,5.48956,6.00407,South
112,Bende,Nigeria,79618,5.55874,7.63359,South
113,Oke Mesi,Nigeria,79563,7.81667,4.91667,South
114,Kafanchan,Nigeria,79522,9.58126,8.2926,South
115,Ikom,Nigeria,79103,5.96669,8.70632,South
116,Agulu,Nigeria,79021,6.10045,7.061,South
117,Daura,Nigeria,78277,11.5541,11.406,North
118,Numan,Nigeria,77617,9.46374,12.0306,South
119,Kagoro,Nigeria,77008,9.60776,8.39043,South
120,Ode,Nigeria,75463,7.7899,5.7117,South
121,Igbo-Ukwu,Nigeria,75224,6.01798,7.02027,South
122,Aramoko-Ekiti,Nigeria,74491,7.70483,5.04054,South
123,Igbara-Odo,Nigeria,74121,7.50251,5.06258,South
124,Ozubulu,Nigeria,73812,5.95753,6.85305,South
125,Aku,Nigeria,73742,6.70902,7.31826,South
126,Oyan,Nigeria,73622,8.05,4.76667,South
127,Jega,Nigeria,73495,12.2234,4.37971,North
128,Asaba,Nigeria,73374,6.19824,6.73187,South
129,Ohafia-Ifigh,Nigeria,73355,5.61455,7.81191,South
130,Afikpo,Nigeria,71866,5.89258,7.93534,South
131,Apomu,Nigeria,71656,7.35156,4.18335,South
132,Fiditi,Nigeria,71461,7.71361,3.91722,South
133,Orita Eruwa,Nigeria,71027,7.55,3.43333,South
134,Eha Amufu,Nigeria,70779,6.65915,7.75961,South
135,Malumfashi,Nigeria,70709,11.7893,7.62061,North
136,Kaura Namoda,Nigeria,69725,12.5937,6.58648,North
137,Enugu-Ukwu,Nigeria,68785,6.17146,7.00525,South
138,Idah,Nigeria,68703,7.11345,6.73866,South
139,Obonoma,Nigeria,68584,4.71131,6.79084,South
140,Agbor,Nigeria,67610,6.25375,6.1942,South
141,Ezza-Ohu,Nigeria,67414,6.44094,8.08432,South
142,Uga,Nigeria,64179,5.93576,7.0793,South
143,Nkwerre,Nigeria,62973,5.75917,7.10384,South
144,Auchi,Nigeria,62907,7.06756,6.2636,South
145,Lokoja,Nigeria,60579,7.79688,6.74048,South
146,Ekpoma,Nigeria,59618,6.743,6.14029,South
147,Ijebu-Jesa,Nigeria,51730,7.68267,4.81436,South
148,Kabba,Nigeria,49869,7.82719,6.07502,South
149,Ilaro,Nigeria,46999,6.88901,3.01416,South
150,Damaturu,Nigeria,46000,11.747,11.9608,North
151,Argungu,Nigeria,45584,12.7448,4.52514,North
152,Gumel,Nigeria,42742,12.6269,9.38807,North
153,Geidam,Nigeria,41367,12.8944,11.9265,North
154,Talata Mafara,Nigeria,39045,12.5684,6.06225,North
155,Gummi,Nigeria,38744,12.1448,5.11776,North
156,Otan Ayegbaju,Nigeria,37783,7.94783,4.78836,South
157,Ogoja,Nigeria,37466,6.6584,8.79923,South
158,Katsina-Ala,Nigeria,36722,7.16938,9.28465,South
159,Itu,Nigeria,36358,5.20131,7.98373,South
160,Kumo,Nigeria,35712,10.0481,11.2106,North
161,Oke Ila,Nigeria,35000,7.95,4.98333,South
162,Pankshin,Nigeria,31516,9.32541,9.4352,South
163,Nasarawa,Nigeria,30949,8.53895,7.70821,South
164,Kachia,Nigeria,30893,9.87342,7.95407,South
165,Dikwa,Nigeria,29026,12.0361,13.9181,North
166,Moriki,Nigeria,28735,12.8741,6.48754,North
167,Patigi,Nigeria,28285,8.72851,5.75561,South
168,Wamba,Nigeria,27137,8.94153,8.60315,South
169,Baro,Nigeria,26821,8.61565,6.4185,South
170,Okuta,Nigeria,26589,9.21667,3.18333,South
171,Birnin Kudu,Nigeria,26565,11.4521,9.47856,North
172,Badagry,Nigeria,26383,6.41502,2.88132,South
173,Ogwashi-Uku,Nigeria,26137,6.17811,6.52461,South
174,Eket,Nigeria,25569,4.64231,7.92438,South
175,Kamba,Nigeria,25568,11.8517,3.65478,North
176,Daura,Nigeria,25289,13.033,8.32351,North
177,Takum,Nigeria,24822,7.26667,9.98333,South
178,Igbeti,Nigeria,24690,8.74921,4.13113,South
179,Zungeru,Nigeria,24447,9.80726,6.15238,South
180,Zuru,Nigeria,24338,11.4352,5.23494,North
181,Yenagoa,Nigeria,24335,4.92675,6.26764,South
182,Tegina,Nigeria,24037,10.0706,6.1906,North
183,Awgu,Nigeria,23175,6.07278,7.47739,South
184,Wudil,Nigeria,23066,11.8094,8.84422,North
185,Nafada,Nigeria,22920,11.096,11.3326,North
186,Ibi,Nigeria,22757,8.18122,9.74431,South
187,Sofo-Birnin-Gwari,Nigeria,22380,11.0154,6.78036,North
188,Dutsen Wai,Nigeria,22062,10.8501,8.199,North
189,Kaiama,Nigeria,21897,9.6053,3.94101,South
190,Ubiaja,Nigeria,21782,6.65581,6.38494,South
191,Otukpa,Nigeria,21686,7.10168,7.65945,South
192,Oguta,Nigeria,21639,5.71044,6.80936,South
193,Damboa,Nigeria,21571,11.1553,12.7564,North
194,Jebba,Nigeria,21488,9.11972,4.8236,South
195,Garko,Nigeria,21141,10.1751,11.1646,North
196,Mokwa,Nigeria,21128,9.29482,5.05412,South
197,Gaya,Nigeria,20959,11.8606,9.0027,North
198,Tambuwal,Nigeria,20932,12.4059,4.64605,North
199,Elele,Nigeria,20620,5.1009,6.81411,South
200,Monguno,Nigeria,20297,12.6706,13.6122,North
201,Kwale,Nigeria,20226,5.70773,6.43402,South
202,Gembu,Nigeria,19881,6.72556,11.2565,South
203,Obudu,Nigeria,19668,6.66819,9.16453,South
204,Gombi,Nigeria,19616,10.1676,12.7368,North
205,Magumeri,Nigeria,19363,12.1145,12.8262,North
206,Degema Hulk,Nigeria,19223,4.76145,6.74957,South
207,Enugu-Ezike,Nigeria,18989,6.9827,7.45534,South
208,Kari,Nigeria,18812,11.2471,10.561,North
209,Darazo,Nigeria,18415,10.9992,10.4106,North
210,Rano,Nigeria,17972,11.5568,8.58065,North
211,Kiyawa,Nigeria,17704,11.7844,9.6069,North
212,Deba,Nigeria,17671,10.2119,11.3871,North
213,Igbor,Nigeria,17666,7.45123,8.60805,South
214,Babana,Nigeria,17617,10.4295,3.81495,North
215,Egbe,Nigeria,17612,8.21667,5.51667,South
216,Gwadabawa,Nigeria,17486,13.3582,5.23812,North
217,Beli,Nigeria,17467,7.85868,10.9719,South
218,Illela,Nigeria,17461,13.7306,5.29777,North
219,Dutse,Nigeria,17129,11.7562,9.33896,North
220,Dukku,Nigeria,16961,10.8238,10.7722,North
221,Bonny,Nigeria,16868,4.4516,7.17074,South
222,Bode Saadu,Nigeria,16619,8.939,4.78227,South
223,Rijau,Nigeria,16613,11.1039,5.25556,North
224,Kumagunnam,Nigeria,16557,13.155,10.6347,North
225,Lapai,Nigeria,16442,9.04439,6.57089,South
226,Burutu,Nigeria,16410,5.35328,5.50826,South
227,Gwarzo,Nigeria,16303,11.916,7.9337,North
228,Kukawa,Nigeria,16077,12.9248,13.5662,North
229,Akwanga,Nigeria,15985,8.91077,8.40655,South
230,Billiri,Nigeria,15976,9.86545,11.2262,South
231,Iperu,Nigeria,15935,6.91002,3.66557,South
232,Gwaram,Nigeria,15806,11.2773,9.88385,North
233,Soba,Nigeria,15715,10.9813,8.05749,North
234,Marte,Nigeria,15707,12.3653,13.8293,North
235,Ibeto,Nigeria,15565,10.4854,5.14501,North
236,Bukuru,Nigeria,15540,9.79399,8.86397,South
237,Anchau,Nigeria,15538,10.9625,8.39233,North
238,Ado Odo,Nigeria,15442,6.6,2.93333,South
239,Ganye,Nigeria,15178,8.43497,12.0511,South
240,Gwoza,Nigeria,15176,11.0831,13.6959,North
241,Ajaokuta,Nigeria,15144,7.56229,6.65497,South
242,Doma,Nigeria,15097,8.39307,8.35544,South
243,Isanlu-Itedoijowa,Nigeria,15087,8.27445,5.83528,South
244,Udi,Nigeria,14998,6.31592,7.42086,South
245,Icheu,Nigeria,14704,7.7067,6.7718,South
246,Igarra,Nigeria,14647,7.29366,6.10432,South
247,Ankpa,Nigeria,14630,7.40249,7.63196,South
248,Lere,Nigeria,14620,9.71052,9.34029,South
249,Omu-Aran,Nigeria,14477,8.13857,5.1026,South
250,Ringim,Nigeria,14463,12.1514,9.16216,North
251,Yashikera,Nigeria,14454,9.76667,3.4,South
252,Jibia,Nigeria,14424,13.0938,7.22624,North
253,Kajuru,Nigeria,14389,10.3228,7.68462,North
254,Gassol,Nigeria,14326,8.53535,10.4461,South
255,Shani,Nigeria,14305,10.2182,12.0606,North
256,Ugbokpo,Nigeria,14218,7.65321,7.8841,South
257,Dapchi,Nigeria,14077,12.4954,11.4998,North
258,Ngala,Nigeria,14031,12.3405,14.1867,North
259,Misau,Nigeria,13957,11.3137,10.4666,North
260,Gandi,Nigeria,13940,12.9636,5.74337,North
261,Ago Are,Nigeria,13919,8.5,3.41667,South
262,Ore,Nigeria,13905,6.74716,4.8761,South
263,Uruobo-Okija,Nigeria,13898,5.90016,6.84312,South
264,Damasak,Nigeria,13874,13.1052,12.5085,North
265,Gamawa,Nigeria,13549,12.1338,10.5379,North
266,Sauri,Nigeria,13445,11.7266,6.78374,North
267,Konduga,Nigeria,13400,11.6533,13.4179,North
268,Dindima,Nigeria,13356,10.2263,10.1513,North
269,Ikang,Nigeria,13305,4.78978,8.5316,South
270,Yelwa,Nigeria,13234,8.83333,9.63333,South
271,Langtang,Nigeria,13172,9.14164,9.79101,South
272,Kazaure,Nigeria,13169,12.6485,8.41178,North
273,Wurno,Nigeria,13087,13.2905,5.42373,North
274,Kujama,Nigeria,12967,10.4577,7.63808,North
275,Okeho,Nigeria,12964,8.03386,3.34759,South
276,Madagali,Nigeria,12919,10.8894,13.6283,North
277,Obubra,Nigeria,12885,6.07672,8.33241,South
278,Ahoada,Nigeria,12848,5.0828,6.64981,South
279,Boju,Nigeria,12814,7.35572,7.89303,South
280,Agenebode,Nigeria,12730,7.10512,6.69381,South
281,Ajasse Ipo,Nigeria,12718,8.23333,4.81667,South
282,Runka,Nigeria,12665,12.4479,7.30918,North
283,Lau,Nigeria,12657,9.20827,11.2754,South
284,Kafin Hausa,Nigeria,12609,12.2393,9.91105,North
285,Bakori,Nigeria,12604,11.5556,7.42419,North
286,Dutsin-Ma,Nigeria,12595,12.4539,7.49723,North
287,Abak,Nigeria,12562,4.98236,7.78922,South
288,Dakingari,Nigeria,12558,11.6481,4.06177,North
289,Bokkos,Nigeria,12538,9.29921,8.99467,South
290,Gorgoram,Nigeria,12470,12.6396,10.7042,North
291,Zango,Nigeria,12371,13.0531,8.48574,North
292,Dange,Nigeria,12369,12.8531,5.34572,North
293,Kaltungo,Nigeria,12357,9.81998,11.3087,South
294,Amper,Nigeria,12212,9.35509,9.70121,South
295,Miringa,Nigeria,12117,10.7311,12.1463,North
296,Zalanga,Nigeria,12070,10.6143,10.1765,North
297,Vom,Nigeria,12000,9.7291,8.79138,South
298,Obiaruku,Nigeria,11936,5.84672,6.1529,South
299,Madala,Nigeria,11771,9.10444,7.21333,South
300,Toungo,Nigeria,11759,8.11733,12.0461,South
301,Agaie,Nigeria,11742,9.0085,6.31821,South
302,Machina,Nigeria,11707,13.1364,10.0492,North
303,Mutum Biyu,Nigeria,11702,8.64138,10.7736,South
304,Kangiwa,Nigeria,11701,12.5534,3.81814,North
305,Bori,Nigeria,11693,4.67629,7.36519,South
306,Burumburum,Nigeria,11689,11.3911,8.72341,North
307,Goniri,Nigeria,11673,11.4845,12.3126,North
308,Bara,Nigeria,11673,10.3744,10.7288,North
309,Uba,Nigeria,11648,10.4551,13.2223,North
310,Anka,Nigeria,11641,12.1135,5.92681,North
311,Omoku,Nigeria,11625,5.34388,6.65684,South
312,Kafarati,Nigeria,11535,10.383,11.0957,North
313,Bin Yauri,Nigeria,11501,10.7823,4.81135,North
314,Maru,Nigeria,11496,12.3336,6.40372,North
315,Gagarawa,Nigeria,11450,12.4085,9.52881,North
316,Gujba,Nigeria,11359,11.4996,11.934,North
317,Opi,Nigeria,11237,6.78223,7.43319,South
318,Mallammaduri,Nigeria,11156,12.5643,9.95727,North
319,Twon-Brass,Nigeria,11122,4.31231,6.24091,South
320,Dekina,Nigeria,11067,7.68967,7.0438,South
